track,direction,frame,pol,lon,lat,bbox
99,D,66,DHDH,-101.268,44.794,-103.10 43.08 -98.95 45.95
99,D,67,DHDH,-102.201,42.828,-103.96 41.12 -99.97 43.98
99,D,68,DHDH,-103.076,40.855,-104.77 39.16 -100.92 42.00
99,D,69,DHDH,-103.889,38.898,-105.49 37.24 -101.82 40.01
99,D,70,DHDH,-104.658,36.949,-106.24 35.27 -102.64 38.07
99,D,71,DHDH,-105.411,34.961,-106.95 33.29 -103.44 36.08
99,D,72,DHDH,-106.126,32.967,-107.62 31.30 -104.21 34.09
99,D,73,DHDH,-106.794,30.992,-108.23 29.37 -104.93 32.08
99,D,74,DHDH,-107.433,29.025,-108.86 27.37 -105.60 30.13
99,D,75,DHDH,-108.07,27.023,-109.48 25.37 -106.27 28.13
99,D,76,DHDH,-108.672,25.04,-110.03 23.43 -106.90 26.12
101,D,122,NASV,179.691,-67.389,175.36 -68.78 182.20 -66.20
101,D,123,NASV,178.923,-69.493,173.78 -70.94 181.42 -68.23
101,D,124,NASV,178.169,-71.681,172.00 -72.98 180.47 -70.36
101,D,125,NASV,174.301,-73.438,169.77 -75.07 179.44 -72.37
101,D,126,NASV,172.307,-75.474,167.04 -77.10 178.16 -74.41
102,A,39,NASV,-54.76,71.955,-60.89 70.40 -50.65 73.57
102,A,40,NASV,-60.306,73.318,-66.62 71.77 -55.99 74.84
102,A,41,NASV,-66.195,74.42,-72.29 72.92 -61.97 75.80
102,A,42,NASV,-72.468,75.288,-78.72 73.79 -68.05 76.61
102,A,43,NASV,-79.462,75.977,-85.44 74.51 -75.14 77.19
102,A,44,NASV,-87.736,76.458,-94.44 75.02 -82.76 77.58
105,A,20,DHDH,-92.277,36.506,-94.42 35.28 -90.87 38.02
105,A,21,DHDH,-93.044,38.455,-95.27 37.19 -91.59 40.01
105,A,22,DHDH,-93.865,40.435,-96.17 39.16 -92.36 41.99
105,A,23,DHDH,-94.737,42.407,-97.12 41.13 -93.18 43.97
105,A,24,DHDH,-95.664,44.373,-98.14 43.08 -94.04 45.94
105,A,25,DHDH,-96.653,46.33,-99.24 45.03 -94.97 47.90
105,A,26,DHDH,-97.713,48.278,-100.42 46.96 -95.95 49.86
105,A,27,DHDH,-98.854,50.217,-101.68 48.88 -97.01 51.80
105,A,28,DHDH,-100.105,52.165,-103.10 50.80 -98.16 53.79
105,A,29,DHDH,-101.509,54.155,-104.70 52.75 -99.44 55.82
108,D,68,DHDH,32.243,40.868,30.60 39.19 34.33 42.00
108,D,69,DHDH,31.413,38.89,29.82 37.22 33.43 40.01
108,D,70,DHDH,30.658,37.0,29.16 35.48 32.58 38.02
109,A,140,NASV,176.103,-76.188,169.98 -77.11 181.14 -74.43
109,A,141,NASV,174.323,-73.883,168.70 -75.08 178.40 -72.38
109,A,142,NASV,172.603,-71.837,167.66 -72.99 176.16 -70.37
109,A,143,NASV,171.186,-69.769,166.73 -70.95 174.38 -68.24
109,A,144,NASV,169.951,-67.669,165.94 -68.79 172.80 -66.22
109,A,145,NASV,168.902,-65.61,165.21 -66.74 171.51 -64.12
